index,person_age,person_income,person_home_ownership,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status
1344,22,39000,RENT,MEDICAL,C,5000,12.23,YES
1345,23,39000,RENT,DEBTCONSOLIDATION,D,5000,15.37,YES
1346,23,39600,RENT,MEDICAL,D,5000,14.84,YES
1347,24,39996,RENT,VENTURE,D,5000,14.11,YES
1348,26,40000,RENT,PERSONAL,D,5000,15.99,YES
1349,24,37000,MORTGAGE,MEDICAL,C,8500,12.53,YES
1350,25,41496,RENT,EDUCATION,B,5000,10.83,YES
1351,26,42000,RENT,PERSONAL,C,5000,13.99,YES
1352,23,37200,MORTGAGE,HOMEIMPROVEMENT,B,7000,10.59,YES
1353,23,37200,MORTGAGE,DEBTCONSOLIDATION,A,4000,7.66,YES
1354,21,37200,MORTGAGE,MEDICAL,A,16800,6.17,YES
1355,24,37200,MORTGAGE,MEDICAL,A,8000,7.88,YES
1356,26,37200,MORTGAGE,DEBTCONSOLIDATION,C,16000,13.11,YES
1357,23,44000,RENT,HOMEIMPROVEMENT,D,5000,16.77,YES
1358,24,44000,RENT,EDUCATION,C,5000,15.23,YES
1359,23,37700,MORTGAGE,DEBTCONSOLIDATION,A,10000,9.63,YES
1360,25,37700,MORTGAGE,EDUCATION,B,9000,11.58,YES
1361,26,37800,MORTGAGE,HOMEIMPROVEMENT,D,7000,14.96,YES
1362,23,59000,RENT,HOMEIMPROVEMENT,D,9000,15.28,YES
1363,24,38000,MORTGAGE,PERSONAL,D,2500,15.7,YES
1364,23,69000,RENT,EDUCATION,B,9000,9.63,YES
1365,23,69000,RENT,EDUCATION,D,9000,14.09,YES
1366,22,38004,MORTGAGE,DEBTCONSOLIDATION,D,3600,17.27,YES
1367,24,83000,RENT,PERSONAL,D,9000,15.05,YES
1368,26,38340,MORTGAGE,PERSONAL,B,2500,12.18,YES
1369,23,38400,MORTGAGE,DEBTCONSOLIDATION,D,15000,17.27,YES
1370,24,143000,RENT,VENTURE,E,9000,16.45,YES
1371,24,24000,RENT,MEDICAL,B,8975,11.83,YES
1372,23,33000,RENT,EDUCATION,C,8950,13.22,YES
1373,25,19240,RENT,HOMEIMPROVEMENT,B,8875,10.65,YES
1374,26,21312,RENT,PERSONAL,B,8875,10.59,YES
1375,23,23000,RENT,EDUCATION,A,8875,8.9,YES
1376,22,23000,RENT,DEBTCONSOLIDATION,B,8875,10.74,YES
1377,26,24500,RENT,PERSONAL,B,8875,10.0,YES
1378,21,26124,RENT,EDUCATION,D,8875,15.62,YES
1379,24,26400,RENT,MEDICAL,A,8875,6.62,YES
1380,22,23800,RENT,VENTURE,A,8800,9.32,YES
1381,23,44000,RENT,MEDICAL,C,5000,13.99,YES
1382,23,44000,RENT,MEDICAL,D,5000,14.91,YES
1383,23,44400,RENT,VENTURE,D,5000,16.29,YES
1384,24,39000,MORTGAGE,DEBTCONSOLIDATION,D,4150,17.58,YES
1385,25,39000,MORTGAGE,PERSONAL,C,8500,14.65,YES
1386,22,21000,RENT,PERSONAL,A,8500,7.51,YES
1387,24,24000,RENT,PERSONAL,A,8500,7.9,YES
1388,25,24000,RENT,VENTURE,B,8500,9.88,YES
1389,26,24996,RENT,VENTURE,A,8500,6.91,YES
1390,24,25000,RENT,VENTURE,B,8500,11.71,YES
1391,23,25000,RENT,EDUCATION,A,8500,6.03,YES
1392,26,25000,RENT,MEDICAL,B,8500,11.71,YES
1393,25,25000,RENT,MEDICAL,C,8500,12.53,YES
1394,24,25000,RENT,HOMEIMPROVEMENT,B,8500,12.21,YES
1395,25,25000,RENT,DEBTCONSOLIDATION,B,8500,11.26,YES
1396,21,25200,RENT,MEDICAL,C,8500,13.61,YES
1397,22,27000,RENT,EDUCATION,B,8500,12.21,YES
1398,21,27120,RENT,EDUCATION,A,8500,8.9,YES
1399,26,28700,RENT,MEDICAL,D,8500,13.55,YES
1400,22,30000,RENT,HOMEIMPROVEMENT,D,8500,15.05,YES
1401,23,34000,RENT,VENTURE,C,8500,13.92,YES
1402,26,39000,MORTGAGE,DEBTCONSOLIDATION,D,5600,16.49,YES
1403,25,39000,RENT,VENTURE,C,8500,13.23,YES
1404,25,44000,RENT,MEDICAL,C,8500,14.27,YES
1405,21,44000,RENT,DEBTCONSOLIDATION,B,8500,11.49,YES
1406,25,69000,RENT,HOMEIMPROVEMENT,A,8500,6.92,YES
1407,22,25000,RENT,EDUCATION,A,8400,6.62,YES
1408,22,49000,RENT,EDUCATION,D,5000,15.62,YES
1409,24,50000,RENT,HOMEIMPROVEMENT,D,5000,15.62,YES
1410,26,51000,RENT,MEDICAL,B,5000,12.42,YES
1411,24,51000,RENT,DEBTCONSOLIDATION,D,5000,14.74,YES
1412,26,51600,RENT,HOMEIMPROVEMENT,A,5000,8.94,YES
1413,22,52880,RENT,MEDICAL,D,5000,14.59,YES
1414,26,53000,RENT,DEBTCONSOLIDATION,D,5000,15.95,YES
1415,22,54000,RENT,DEBTCONSOLIDATION,D,5000,17.27,YES
1416,22,54000,RENT,DEBTCONSOLIDATION,A,5000,6.54,YES
1417,24,39000,MORTGAGE,HOMEIMPROVEMENT,C,16000,14.22,YES
1418,22,54000,RENT,EDUCATION,E,5000,16.35,YES
1419,23,54000,RENT,EDUCATION,C,5000,12.84,YES
1420,25,59000,RENT,MEDICAL,D,5000,15.62,YES
1421,23,39000,MORTGAGE,VENTURE,C,16000,14.26,YES
1422,21,59000,RENT,MEDICAL,C,5000,14.22,YES
1423,22,59004,RENT,EDUCATION,B,5000,11.11,YES
1424,23,39000,MORTGAGE,MEDICAL,D,8000,14.11,YES
1425,24,39000,MORTGAGE,EDUCATION,D,12000,14.11,YES
1426,23,63900,RENT,DEBTCONSOLIDATION,D,5000,15.99,YES
1427,23,54400,RENT,MEDICAL,D,5000,16.49,YES
1428,23,55488,RENT,MEDICAL,D,5000,15.21,YES
1429,22,39000,MORTGAGE,VENTURE,F,5000,18.21,YES
1430,26,39000,MORTGAGE,DEBTCONSOLIDATION,D,5000,13.67,YES
1431,25,56950,RENT,MEDICAL,C,5000,13.92,YES
1432,23,69000,RENT,PERSONAL,A,5000,7.49,YES
1433,22,39000,OWN,EDUCATION,F,25000,16.08,YES
1434,26,39200,MORTGAGE,MEDICAL,D,4000,15.05,YES
1435,24,74000,RENT,EDUCATION,C,5000,15.27,YES
1436,22,74000,RENT,DEBTCONSOLIDATION,C,5000,13.49,YES
1437,23,62900,RENT,MEDICAL,D,5000,14.84,YES
1438,23,39325,MORTGAGE,EDUCATION,C,2800,12.87,YES
1439,26,73000,RENT,EDUCATION,D,5000,15.31,YES
1440,26,39500,MORTGAGE,MEDICAL,D,15250,15.05,YES
1441,25,76000,RENT,DEBTCONSOLIDATION,E,5000,17.19,YES
1442,23,78000,RENT,HOMEIMPROVEMENT,A,5000,6.62,YES
1443,21,39600,MORTGAGE,MEDICAL,A,6400,6.91,YES
1444,25,80000,RENT,DEBTCONSOLIDATION,D,5000,14.96,YES
1445,23,86004,RENT,PERSONAL,D,5000,14.84,YES
1446,22,39600,MORTGAGE,DEBTCONSOLIDATION,C,4650,10.28,YES
1447,22,39868,MORTGAGE,DEBTCONSOLIDATION,D,2400,16.02,YES
1448,25,39896,MORTGAGE,MEDICAL,A,9250,9.63,YES
1449,22,114000,RENT,VENTURE,D,5000,15.31,YES
1450,23,138000,RENT,DEBTCONSOLIDATION,D,5000,14.91,YES
1451,24,117300,RENT,MEDICAL,C,5000,13.23,YES
1452,25,21600,RENT,MEDICAL,B,5200,11.86,YES
1453,25,30000,RENT,DEBTCONSOLIDATION,E,5200,17.19,YES
1454,23,24000,RENT,EDUCATION,A,5250,7.66,YES
1455,22,30000,RENT,EDUCATION,E,5300,17.99,YES
1456,24,30000,RENT,MEDICAL,D,5300,15.28,YES
1457,25,40000,MORTGAGE,HOMEIMPROVEMENT,B,15000,11.36,YES
1458,24,18000,RENT,MEDICAL,D,5400,15.99,YES
1459,22,18000,RENT,DEBTCONSOLIDATION,C,5400,15.23,YES
1460,26,25300,RENT,HOMEIMPROVEMENT,D,5400,16.02,YES
1461,22,32000,RENT,PERSONAL,D,5400,16.29,YES
1462,22,58617,RENT,MEDICAL,D,5400,15.21,YES
1463,22,69108,RENT,PERSONAL,E,5400,15.95,YES
1464,24,40500,MORTGAGE,DEBTCONSOLIDATION,B,8500,10.99,YES
1465,22,12000,RENT,EDUCATION,B,5500,10.36,YES
1466,21,14400,RENT,MEDICAL,B,5500,11.48,YES
1467,21,15192,RENT,PERSONAL,C,5500,13.11,YES
1468,25,18000,RENT,PERSONAL,B,5500,11.71,YES
1469,23,19136,RENT,EDUCATION,E,5500,17.93,YES
1470,25,40800,OWN,HOMEIMPROVEMENT,E,7000,19.03,YES
1471,21,21700,RENT,HOMEIMPROVEMENT,D,5500,14.91,YES
1472,22,26784,RENT,DEBTCONSOLIDATION,D,5500,14.74,YES
1473,22,41000,MORTGAGE,DEBTCONSOLIDATION,A,7000,7.9,YES
1474,23,37000,RENT,DEBTCONSOLIDATION,D,5500,15.31,YES
1475,24,37004,RENT,VENTURE,D,5500,15.05,YES
1476,21,44000,RENT,PERSONAL,D,5500,15.28,YES
1477,26,51000,RENT,HOMEIMPROVEMENT,C,5500,13.49,YES
1478,26,51600,RENT,HOMEIMPROVEMENT,B,5500,11.99,YES
1479,22,41000,MORTGAGE,EDUCATION,C,10000,13.57,YES
1480,25,41000,MORTGAGE,EDUCATION,C,5000,11.78,YES
1481,24,41000,MORTGAGE,MEDICAL,B,6600,10.71,YES
1482,24,22000,RENT,PERSONAL,C,5550,12.41,YES
1483,22,31000,RENT,MEDICAL,B,5550,11.36,YES
1484,22,41244,MORTGAGE,DEBTCONSOLIDATION,B,11500,11.58,YES
1485,22,14400,RENT,VENTURE,D,5600,14.59,YES
1486,21,18000,RENT,HOMEIMPROVEMENT,F,5600,18.09,YES
1487,24,19200,RENT,DEBTCONSOLIDATION,A,5600,8.9,YES
1488,24,19800,RENT,DEBTCONSOLIDATION,A,5600,5.79,YES
1489,24,28000,RENT,PERSONAL,D,5600,14.12,YES
1490,21,30000,RENT,PERSONAL,D,5600,14.46,YES
1491,25,29004,RENT,PERSONAL,C,5600,13.79,YES
1492,26,41682,MORTGAGE,DEBTCONSOLIDATION,C,18000,13.22,YES
1493,22,33000,RENT,MEDICAL,C,5600,13.23,YES
1494,22,39000,RENT,HOMEIMPROVEMENT,D,5600,14.96,YES
1495,24,60500,RENT,PERSONAL,D,5600,14.91,YES
1496,25,58650,RENT,MEDICAL,D,5600,14.84,YES
1497,24,11476,RENT,MEDICAL,A,5700,7.49,YES
1498,21,17000,RENT,MEDICAL,A,5750,8.9,YES
1499,23,30900,RENT,PERSONAL,A,5775,9.63,YES
1500,21,18000,RENT,DEBTCONSOLIDATION,C,5800,14.72,YES
1501,23,42000,MORTGAGE,DEBTCONSOLIDATION,C,1800,12.99,YES
1502,23,12000,RENT,PERSONAL,A,5825,6.62,YES
1503,23,42000,MORTGAGE,EDUCATION,A,10500,7.66,YES
1504,25,19200,RENT,EDUCATION,D,5875,14.11,YES
1505,21,14400,RENT,EDUCATION,B,5900,12.42,YES
1506,25,34000,RENT,HOMEIMPROVEMENT,B,5925,11.11,YES
1507,24,46000,RENT,EDUCATION,D,5975,14.46,YES
1508,22,12000,RENT,DEBTCONSOLIDATION,B,6000,8.88,YES
1509,25,13440,RENT,MEDICAL,A,6000,7.49,YES
1510,24,14880,RENT,EDUCATION,B,6000,10.0,YES
1511,22,15000,RENT,MEDICAL,A,6000,6.03,YES
1512,22,15000,RENT,EDUCATION,D,6000,14.59,YES
1513,21,16000,RENT,VENTURE,B,6000,9.63,YES
1514,24,16800,RENT,DEBTCONSOLIDATION,D,6000,14.84,YES
1515,26,17376,RENT,VENTURE,B,6000,10.99,YES
1516,22,18000,RENT,VENTURE,A,6000,6.62,YES
1517,24,18000,RENT,PERSONAL,B,6000,12.21,YES
1518,22,18200,RENT,HOMEIMPROVEMENT,A,6000,7.66,YES
1519,22,18996,RENT,MEDICAL,D,6000,14.74,YES
1520,23,42000,MORTGAGE,EDUCATION,D,2000,15.2,YES
1521,23,19000,RENT,EDUCATION,C,6000,10.59,YES
1522,24,19200,RENT,EDUCATION,B,6000,10.59,YES
1523,25,19200,RENT,MEDICAL,A,6000,7.14,YES
1524,21,19200,RENT,PERSONAL,B,6000,9.88,YES
1525,25,19200,RENT,HOMEIMPROVEMENT,C,6000,13.11,YES
1526,23,21600,RENT,MEDICAL,D,6000,14.42,YES
1527,25,22800,RENT,MEDICAL,C,6000,13.35,YES
1528,21,23040,RENT,HOMEIMPROVEMENT,A,6000,7.9,YES
1529,22,24000,RENT,HOMEIMPROVEMENT,B,6000,12.18,YES
1530,25,25000,RENT,DEBTCONSOLIDATION,E,6000,16.4,YES
1531,23,25200,RENT,HOMEIMPROVEMENT,C,6000,13.23,YES
1532,24,42000,MORTGAGE,DEBTCONSOLIDATION,A,3500,8.94,YES
1533,25,28000,RENT,PERSONAL,B,6000,10.59,YES
1534,21,28800,RENT,HOMEIMPROVEMENT,B,6000,10.62,YES
1535,25,28800,RENT,VENTURE,E,6000,17.04,YES
1536,22,30000,RENT,EDUCATION,C,6000,14.27,YES
1537,22,30000,RENT,PERSONAL,B,6000,10.99,YES
1538,24,30000,RENT,HOMEIMPROVEMENT,D,6000,15.99,YES
1539,21,31200,RENT,DEBTCONSOLIDATION,D,6000,16.89,YES
1540,25,31200,RENT,DEBTCONSOLIDATION,C,6000,13.8,YES
1541,24,32000,RENT,HOMEIMPROVEMENT,C,6000,13.49,YES
1542,25,32000,RENT,MEDICAL,B,6000,10.62,YES
1543,25,48500,OTHER,EDUCATION,E,19500,15.57,YES
1544,22,42500,MORTGAGE,MEDICAL,E,7000,15.57,YES
1545,25,32000,RENT,PERSONAL,D,6000,12.92,YES
1546,24,32004,RENT,PERSONAL,D,6000,14.84,YES
1547,26,33000,RENT,VENTURE,D,6000,14.84,YES
1548,22,33650,RENT,EDUCATION,D,6000,12.86,YES
1549,23,34000,RENT,DEBTCONSOLIDATION,D,6000,14.09,YES
1550,25,29000,RENT,MEDICAL,C,6000,13.49,YES
1551,22,42996,MORTGAGE,HOMEIMPROVEMENT,C,12000,13.79,YES
1552,23,29000,RENT,EDUCATION,A,6000,7.88,YES
1553,24,29004,RENT,VENTURE,D,6000,15.62,YES
1554,26,29004,RENT,PERSONAL,D,6000,14.11,YES
1555,24,43000,MORTGAGE,PERSONAL,D,4000,17.49,YES
1556,24,43000,MORTGAGE,DEBTCONSOLIDATION,D,10000,16.89,YES
1557,26,29364,RENT,HOMEIMPROVEMENT,C,6000,13.35,YES
1558,24,43000,MORTGAGE,DEBTCONSOLIDATION,B,3000,10.99,YES
1559,22,29916,RENT,PERSONAL,D,6000,15.65,YES
1560,22,30000,RENT,EDUCATION,C,6000,14.79,YES
1561,22,30000,RENT,DEBTCONSOLIDATION,E,6000,19.39,YES
1562,26,30000,RENT,DEBTCONSOLIDATION,E,6000,16.77,YES
1563,23,30000,RENT,DEBTCONSOLIDATION,D,6000,16.32,YES
1564,24,30000,RENT,PERSONAL,D,6000,14.11,YES
1565,25,30000,RENT,EDUCATION,D,6000,14.74,YES
1566,21,30000,RENT,EDUCATION,C,6000,13.16,YES
1567,26,30000,RENT,MEDICAL,E,6000,15.45,YES
1568,23,31000,RENT,DEBTCONSOLIDATION,B,6000,11.71,YES
1569,25,32000,RENT,DEBTCONSOLIDATION,C,6000,12.99,YES
1570,24,43590,MORTGAGE,MEDICAL,B,8000,11.83,YES
1571,25,43633,MORTGAGE,DEBTCONSOLIDATION,D,9000,15.62,YES
1572,24,33000,RENT,DEBTCONSOLIDATION,D,6000,15.62,YES
1573,25,33600,RENT,DEBTCONSOLIDATION,D,6000,15.58,YES
1574,23,34255,RENT,VENTURE,G,6000,22.11,YES
1575,26,44000,MORTGAGE,PERSONAL,D,20000,17.27,YES
1576,24,44000,MORTGAGE,HOMEIMPROVEMENT,A,2200,8.9,YES
1577,25,35196,RENT,MEDICAL,D,6000,14.54,YES
1578,26,44000,MORTGAGE,DEBTCONSOLIDATION,D,3500,16.29,YES
1579,25,39000,RENT,VENTURE,C,6000,13.49,YES
1580,23,39000,RENT,EDUCATION,D,6000,15.99,YES
1581,23,39000,RENT,MEDICAL,D,6000,14.09,YES
1582,22,39000,RENT,HOMEIMPROVEMENT,C,6000,13.22,YES
1583,25,39396,RENT,VENTURE,D,6000,15.31,YES
1584,26,39600,RENT,PERSONAL,B,6000,12.42,YES
1585,22,40680,RENT,HOMEIMPROVEMENT,B,6000,11.36,YES
1586,23,41500,RENT,EDUCATION,E,6000,16.7,YES
1587,24,41628,RENT,DEBTCONSOLIDATION,C,6000,11.28,YES
1588,23,44000,MORTGAGE,MEDICAL,B,5400,10.99,YES
1589,26,44000,MORTGAGE,EDUCATION,A,10000,5.42,YES
1590,23,42000,RENT,HOMEIMPROVEMENT,C,6000,12.99,YES
1591,22,44000,MORTGAGE,VENTURE,D,6400,15.99,YES
1592,25,44000,MORTGAGE,DEBTCONSOLIDATION,A,9800,7.49,YES
1593,24,42000,RENT,HOMEIMPROVEMENT,D,6000,14.96,YES
1594,23,42000,RENT,DEBTCONSOLIDATION,D,6000,14.42,YES
1595,23,42000,RENT,PERSONAL,C,6000,12.41,YES
1596,23,44000,MORTGAGE,PERSONAL,A,10000,8.49,YES
1597,22,44000,MORTGAGE,MEDICAL,A,5000,5.42,YES
1598,26,44000,MORTGAGE,PERSONAL,B,11500,9.63,YES
1599,24,45000,RENT,MEDICAL,E,6000,17.19,YES
1600,26,45928,RENT,HOMEIMPROVEMENT,A,6000,7.9,YES
1601,26,48000,RENT,PERSONAL,E,6000,16.45,YES
1602,26,48700,RENT,MEDICAL,D,6000,14.59,YES
1603,21,49000,RENT,VENTURE,D,6000,15.99,YES
1604,21,49000,RENT,DEBTCONSOLIDATION,D,6000,14.84,YES
1605,26,49200,RENT,MEDICAL,D,6000,16.49,YES
1606,23,50000,RENT,DEBTCONSOLIDATION,B,6000,11.48,YES
1607,22,52800,RENT,EDUCATION,C,6000,11.97,YES
1608,23,54000,RENT,DEBTCONSOLIDATION,D,6000,15.62,YES
1609,24,54000,RENT,HOMEIMPROVEMENT,B,6000,10.99,YES
1610,23,54000,RENT,DEBTCONSOLIDATION,D,6000,14.09,YES
1611,23,54000,RENT,HOMEIMPROVEMENT,E,6000,16.45,YES
1612,23,44000,MORTGAGE,PERSONAL,A,8500,7.14,YES
1613,26,15000,RENT,MEDICAL,B,7100,9.99,YES
1614,25,33000,RENT,VENTURE,C,7100,14.65,YES
1615,23,44400,RENT,DEBTCONSOLIDATION,A,7100,6.99,YES
1616,22,30500,RENT,EDUCATION,A,7025,6.54,YES
1617,22,10000,RENT,HOMEIMPROVEMENT,B,7000,12.21,YES
1618,22,15090,RENT,EDUCATION,A,7000,8.94,YES
1619,22,18000,RENT,HOMEIMPROVEMENT,B,7000,10.65,YES
1620,23,18000,RENT,PERSONAL,A,7000,7.88,YES
1621,21,18000,RENT,HOMEIMPROVEMENT,B,7000,11.14,YES
1622,21,19200,RENT,HOMEIMPROVEMENT,C,7000,14.35,YES
1623,25,19200,RENT,VENTURE,E,7000,16.82,YES
1624,23,21600,RENT,VENTURE,A,7000,6.62,YES
1625,21,21600,RENT,EDUCATION,C,7000,13.98,YES
1626,26,22480,RENT,HOMEIMPROVEMENT,A,7000,8.0,YES
1627,22,22500,RENT,DEBTCONSOLIDATION,B,7000,10.38,YES
1628,24,22680,RENT,DEBTCONSOLIDATION,B,7000,10.62,YES
1629,26,22884,RENT,MEDICAL,A,7000,7.51,YES
1630,23,44000,MORTGAGE,MEDICAL,F,2000,19.13,YES
1631,25,23000,RENT,DEBTCONSOLIDATION,D,7000,12.49,YES
1632,24,24000,RENT,PERSONAL,D,7000,15.62,YES
1633,24,44000,MORTGAGE,EDUCATION,D,15000,15.31,YES
1634,25,24000,RENT,VENTURE,E,7000,16.45,YES
1635,25,57500,RENT,VENTURE,C,6000,11.28,YES
1636,24,58668,RENT,MEDICAL,D,6000,15.05,YES
1637,25,59000,RENT,VENTURE,C,6000,15.23,YES
1638,23,44000,MORTGAGE,PERSONAL,B,15000,12.18,YES
1639,24,59000,RENT,DEBTCONSOLIDATION,D,6000,16.0,YES
1640,25,44000,MORTGAGE,MEDICAL,D,5550,14.11,YES
1641,26,62065,RENT,PERSONAL,B,6000,11.12,YES
1642,26,44000,MORTGAGE,MEDICAL,G,12000,18.84,YES
1643,22,44000,MORTGAGE,MEDICAL,D,16000,14.74,YES
1644,26,63400,RENT,PERSONAL,D,6000,15.21,YES
1645,21,44000,MORTGAGE,DEBTCONSOLIDATION,E,15000,16.0,YES
1646,23,65074,RENT,EDUCATION,D,6000,14.42,YES
1647,24,44000,MORTGAGE,EDUCATION,F,7500,16.33,YES
1648,26,66000,RENT,VENTURE,C,6000,13.49,YES
1649,25,44000,MORTGAGE,PERSONAL,B,7500,10.08,YES
1650,21,44000,MORTGAGE,VENTURE,D,7500,12.92,YES
1651,23,57800,RENT,MEDICAL,B,6000,10.99,YES
1652,21,44000,MORTGAGE,MEDICAL,D,6000,12.61,YES
1653,23,69000,RENT,DEBTCONSOLIDATION,D,6000,16.02,YES
1654,22,44004,MORTGAGE,VENTURE,D,9000,14.11,YES
1655,22,44004,MORTGAGE,DEBTCONSOLIDATION,E,11000,15.68,YES
1656,25,73000,RENT,DEBTCONSOLIDATION,D,6000,14.96,YES
1657,26,78000,RENT,PERSONAL,C,6000,12.68,YES
1658,25,44400,MORTGAGE,VENTURE,C,6000,12.99,YES
1659,24,79650,RENT,PERSONAL,E,6000,16.35,YES
1660,26,81000,RENT,PERSONAL,A,6000,7.51,YES
1661,26,92000,RENT,VENTURE,D,6000,15.58,YES
1662,22,93000,RENT,HOMEIMPROVEMENT,A,6000,8.94,YES
1663,23,95000,RENT,DEBTCONSOLIDATION,D,6000,16.49,YES
1664,25,19200,RENT,DEBTCONSOLIDATION,B,6150,11.46,YES
1665,24,45000,MORTGAGE,VENTURE,C,10625,14.27,YES
1666,23,19200,RENT,MEDICAL,G,6200,19.82,YES
1667,26,20000,RENT,EDUCATION,A,6200,5.99,YES
1668,24,26000,RENT,HOMEIMPROVEMENT,D,6200,14.11,YES
1669,23,45000,MORTGAGE,MEDICAL,B,5000,10.74,YES
1670,22,19200,RENT,DEBTCONSOLIDATION,A,6250,7.51,YES
1671,25,19200,RENT,EDUCATION,D,6250,15.31,YES
1672,23,19250,RENT,HOMEIMPROVEMENT,E,6250,16.82,YES
1673,22,27000,RENT,MEDICAL,D,6250,15.99,YES
1674,21,45000,MORTGAGE,DEBTCONSOLIDATION,D,8000,15.31,YES
1675,25,50000,RENT,MEDICAL,E,7000,15.57,YES
1676,23,52000,RENT,MEDICAL,C,7000,13.85,YES
1677,25,54000,RENT,DEBTCONSOLIDATION,F,7000,20.89,YES
1678,24,54000,RENT,DEBTCONSOLIDATION,D,7000,15.99,YES
1679,22,54000,RENT,MEDICAL,D,7000,14.96,YES
1680,22,54000,RENT,PERSONAL,D,7000,14.96,YES
1681,23,45480,MORTGAGE,DEBTCONSOLIDATION,C,4400,13.16,YES
1682,24,60000,RENT,EDUCATION,A,7000,7.51,YES
1683,25,45996,MORTGAGE,HOMEIMPROVEMENT,C,11000,12.68,YES
1684,23,66348,RENT,VENTURE,E,7000,17.04,YES
1685,21,45996,MORTGAGE,EDUCATION,C,17000,13.16,YES
1686,23,46000,MORTGAGE,PERSONAL,B,9500,12.69,YES
1687,23,74000,RENT,HOMEIMPROVEMENT,A,7000,6.03,YES
1688,23,76000,RENT,PERSONAL,D,7000,14.96,YES
1689,25,66300,RENT,MEDICAL,B,7000,9.25,YES
1690,22,28500,RENT,HOMEIMPROVEMENT,D,6250,14.84,YES
1691,22,29100,RENT,PERSONAL,D,6250,16.07,YES
1692,26,46000,MORTGAGE,HOMEIMPROVEMENT,B,7000,9.99,YES
1693,25,46000,MORTGAGE,MEDICAL,B,6000,10.99,YES
1694,24,46000,MORTGAGE,PERSONAL,C,29100,12.99,YES
1695,22,70550,RENT,MEDICAL,E,7000,15.88,YES
1696,24,25000,RENT,MEDICAL,D,6950,14.42,YES
1697,24,46000,MORTGAGE,DEBTCONSOLIDATION,D,12000,14.83,YES
1698,24,46000,MORTGAGE,EDUCATION,A,12000,7.88,YES
1699,24,58650,RENT,MEDICAL,D,6300,14.91,YES
1700,23,74415,RENT,PERSONAL,D,6350,12.92,YES
1701,22,20000,RENT,DEBTCONSOLIDATION,B,6500,10.99,YES
1702,21,21000,RENT,EDUCATION,B,6500,11.89,YES
1703,26,25000,RENT,MEDICAL,D,6500,14.09,YES
1704,25,46000,OWN,DEBTCONSOLIDATION,E,19750,16.7,YES
1705,22,46000,MORTGAGE,MEDICAL,B,8000,12.53,YES
1706,24,46000,MORTGAGE,PERSONAL,B,15250,12.53,YES
1707,26,46000,MORTGAGE,EDUCATION,G,5000,19.16,YES
1708,22,34000,RENT,PERSONAL,C,6500,13.22,YES
1709,22,35325,RENT,HOMEIMPROVEMENT,D,6500,15.95,YES
1710,23,36000,RENT,DEBTCONSOLIDATION,D,6500,17.49,YES
1711,22,46320,MORTGAGE,DEBTCONSOLIDATION,D,15000,12.86,YES
1712,22,46500,MORTGAGE,DEBTCONSOLIDATION,B,9500,12.69,YES
1713,22,45012,RENT,MEDICAL,D,6500,13.99,YES
1714,23,46500,MORTGAGE,MEDICAL,A,5000,7.49,YES
1715,25,46645,MORTGAGE,PERSONAL,B,2000,12.69,YES
1716,25,46800,MORTGAGE,MEDICAL,A,6000,5.42,YES
1717,24,21600,RENT,EDUCATION,C,6600,12.68,YES
1718,26,46800,MORTGAGE,MEDICAL,C,5000,12.87,YES
1719,24,30000,RENT,HOMEIMPROVEMENT,C,6600,13.06,YES
1720,22,41838,RENT,MEDICAL,D,6600,16.89,YES
1721,25,47000,MORTGAGE,EDUCATION,A,12000,6.62,YES
1722,25,13200,RENT,DEBTCONSOLIDATION,A,6625,8.63,YES
1723,23,16800,RENT,EDUCATION,A,6625,6.03,YES
1724,21,28000,RENT,DEBTCONSOLIDATION,C,6625,13.06,YES
1725,22,47000,MORTGAGE,MEDICAL,B,24000,10.37,YES
1726,22,12000,RENT,EDUCATION,A,6700,7.66,YES
1727,22,27600,RENT,VENTURE,D,6700,15.31,YES
1728,22,36050,RENT,PERSONAL,D,6700,14.11,YES
1729,23,47000,MORTGAGE,MEDICAL,C,16000,14.35,YES
1730,25,42000,RENT,MEDICAL,D,6750,17.27,YES
1731,24,30500,RENT,EDUCATION,F,6800,21.74,YES
1732,22,31500,RENT,VENTURE,D,6800,14.11,YES
1733,23,46000,RENT,VENTURE,D,6800,15.65,YES
1734,23,46852,RENT,HOMEIMPROVEMENT,B,6800,10.65,YES
1735,23,48000,RENT,PERSONAL,A,6800,6.54,YES
1736,23,47148,MORTGAGE,MEDICAL,A,25000,7.49,YES
1737,25,96050,RENT,MEDICAL,D,6500,14.61,YES
1738,23,80000,RENT,PERSONAL,A,6475,6.99,YES
1739,26,47360,MORTGAGE,HOMEIMPROVEMENT,D,6000,14.61,YES
1740,25,31000,RENT,HOMEIMPROVEMENT,D,6450,14.42,YES
1741,21,20000,RENT,PERSONAL,B,6400,10.99,YES
1742,25,29120,RENT,HOMEIMPROVEMENT,D,6400,16.29,YES
1743,22,30000,RENT,DEBTCONSOLIDATION,E,6400,16.0,YES
1744,23,47800,MORTGAGE,MEDICAL,B,18000,10.95,YES
1745,26,34200,RENT,HOMEIMPROVEMENT,D,6400,17.49,YES
1746,22,29000,RENT,DEBTCONSOLIDATION,E,6400,15.95,YES
1747,22,38000,RENT,DEBTCONSOLIDATION,F,6400,20.62,YES
1748,26,48000,MORTGAGE,EDUCATION,A,15000,5.99,YES
